,Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,W_min_sum,Total Comsumption
1975,2013-03-24 08:00:00,1.70456722454,2.92382256416,0.0,2.8948093878,0.0,0.0731010636665,0.0731010636665,0.0731010636665,0.185553694638,0.0399731873457,0.214170541178,0.421217987177,0.738906750537,0.0,9.3423245283752
1976,2013-03-24 09:00:00,1.59252662618,2.05193048655,0.0,2.02740152179,0.0,0.0514611341056,0.0514611341056,0.0514611341056,0.147491386046,0.0317735565319,0.275218193109,0.356115477877,0.713822878514,0.0,7.3506635289146995
1977,2013-03-24 10:00:00,1.42103573412,1.34591163523,0.0,1.3250355027,0.0,0.0340210965166,0.0340210965166,0.0340210965166,0.0761245853185,0.016399256479,0.336436577975,0.303083068842,0.638327148985,0.0,5.5644167991993
1978,2013-03-24 11:00:00,1.32305774341,0.795240653844,0.0,0.773873549237,0.0,0.0201356120135,0.0201356120135,0.0201356120135,0.0618512235796,0.0133243957819,0.351641232033,0.310211080809,0.549250199191,0.0,4.238856913926001
1979,2013-03-24 12:00:00,1.24289205192,0.173965526012,0.0,0.15259187511,0.0,0.00401862884526,0.00401862884526,0.00401862884526,0.0618512235796,0.0133243957819,0.366855520645,0.310306120969,0.469892162103,0.0,2.80373476265628
1980,2013-03-24 13:00:00,1.16183294271,0.021013604715,0.0,0.0,0.0,0.0,0.0,0.0,0.0618512235796,0.0133243957819,0.357197296466,0.305078912193,0.407737114689,0.0,2.3280354901345
1981,2013-03-24 14:00:00,1.10326846754,0.0217402433827,0.0,0.0,0.0,0.0,0.0,0.0,0.0618512235796,0.0133243957819,0.324743059292,0.315628369904,0.371077418986,0.0,2.2116331784662
1982,2013-03-24 15:00:00,1.05896050453,0.0229644004175,0.0,0.0,0.0,0.0,0.0,0.0,0.0618512235796,0.0133243957819,0.299663707888,0.333400879742,0.334076297535,0.0,2.124241409474
1983,2013-03-24 16:00:00,1.10230441093,0.0242409278068,0.0,0.0,0.0,0.0,0.0,0.0,0.0713668007277,0.0153743034853,0.308214938409,0.351933710857,0.338770657455,0.0,2.2122057496708
1984,2013-03-24 17:00:00,1.30342354474,0.0286727690504,0.0,0.0,0.0,0.0,0.0,0.0,0.109429077454,0.0235739257181,0.354668497169,0.41627589888,0.38283214552,0.0,2.6188758585315
1985,2013-03-24 18:00:00,1.70485625585,0.0348328319902,0.0,0.0,0.0,0.0,0.0,0.0,0.218858154908,0.0471478685982,0.438965378865,0.505708689028,0.477532164457,0.0,3.4279013436963996
1986,2013-03-24 19:00:00,2.07277836163,0.0378179421927,0.0,0.0,0.0,0.0,0.0,0.0,0.423443003842,0.0912208713508,0.397476839177,0.549047001788,0.564946645471,0.0,4.1367306654515
1987,2013-03-24 20:00:00,2.25413610687,0.0390355529332,0.0,0.0,0.0,0.0,0.0,0.0,0.632785621435,0.136318823665,0.322310374418,0.566724471466,0.579352815884,0.0,4.5306637666712
1988,2013-03-24 21:00:00,2.24335203308,0.0403775432655,0.0,0.0,0.0,0.0,0.0,0.0,0.680363467342,0.146568353601,0.2859788881,0.586207704176,0.527589619856,0.0,4.510437609420499
1989,2013-03-24 22:00:00,2.01749073672,0.0394348768858,0.0,0.0,0.0,0.0,0.0,0.0,0.570934389888,0.122994427883,0.269710329714,0.572521921199,0.464685668035,0.0,4.0577723503248
1990,2013-03-24 23:00:00,1.61515936144,0.0341258322054,0.0,0.0,0.0,0.0,0.0,0.0,0.4282007725,0.092245820912,0.217943329922,0.495444351795,0.364681086312,0.0,3.2478005550863998
1991,2013-03-25 00:00:00,1.21978043892,0.174805337013,0.0,0.145150623817,0.0,0.00384853897851,0.00384853897851,0.00384853897851,0.29974054075,0.064572079787,0.147779360955,0.430531922814,0.256663995639,0.0,2.7505699166305293
1992,2013-03-25 01:00:00,0.833453803081,0.755207499818,0.0,0.730678535062,0.0,0.019325094878,0.019325094878,0.019325094878,0.152249154704,0.0327985060931,0.104853078911,0.356115477877,0.151468490618,0.0,3.1747998307981
1993,2013-03-25 02:00:00,0.671112351524,1.33874948611,0.0,1.31616477076,0.0,0.0345879331955,0.0345879331955,0.0345879331955,0.0903979231577,0.0194741103112,0.0878160666328,0.327888550488,0.0943037677389,0.0,4.049670826309099
1994,2013-03-25 03:00:00,0.612904719699,1.70713534591,0.0,1.68481248234,0.0,0.0440373245791,0.0440373245791,0.0440373245791,0.0618512235796,0.0133243957819,0.074195304001,0.324086944105,0.0787655276518,0.0,4.689187916805599
